,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ponta do sol,32.6667,-17.1,65.12,82,16,10.96,PT,1650914158
1,ushuaia,-54.8,-68.3,42.42,72,100,3.65,AR,1650913973
2,klaksvik,62.2266,-6.589,40.12,81,100,15.37,FO,1650914381
3,new norfolk,-42.7826,147.0587,50.88,86,91,2.13,AU,1650914162
4,chokurdakh,70.6333,147.9167,6.13,92,100,5.46,RU,1650914165
5,castro,-24.7911,-50.0119,76.62,54,0,3.96,BR,1650914252
6,codrington,-38.2667,141.9667,58.71,70,100,10.07,AU,1650914156
7,deogarh,21.5333,84.7333,79.83,36,0,2.77,IN,1650914420
8,kavaratti,10.5669,72.642,84.7,75,50,6.29,IN,1650913869
9,jalu,29.0331,21.5482,83.39,12,100,10.16,LY,1650914303
10,barrow,71.2906,-156.7887,12.22,79,100,11.5,US,1650914259
11,acapulco,16.8634,-99.8901,85.82,70,0,12.66,MX,1650914294
12,whitehorse,60.7161,-135.0538,43.11,78,75,3.44,CA,1650914421
13,mataura,-46.1927,168.8643,51.48,81,54,7.2,NZ,1650914153
14,lobo,13.6481,121.2112,79.95,86,46,7.85,PH,1650914421
15,hobart,-42.8794,147.3294,51.22,91,48,6.91,AU,1650914265
16,jamestown,42.097,-79.2353,80.24,44,40,13.8,US,1650914267
17,arraial do cabo,-22.9661,-42.0278,78.66,65,20,12.66,BR,1650914325
18,vetlanda,57.4289,15.0776,42.55,46,58,3.74,SE,1650914422
19,katsuura,35.1333,140.3,65.71,91,100,5.14,JP,1650914279
20,celestun,20.8667,-90.4,87.28,59,0,14.74,MX,1650914422
21,victoria,22.2855,114.1577,82.45,84,9,5.99,HK,1650913882
22,rikitea,-23.1203,-134.9692,76.87,73,100,16.13,PF,1650913891
23,constitucion,-35.3333,-72.4167,56.46,81,100,7.63,CL,1650914261
24,souillac,-20.5167,57.5167,75.67,70,35,15.01,MU,1650914059
25,te anau,-45.4167,167.7167,39.79,91,8,1.05,NZ,1650914273
26,lardos,36.0942,28.0157,64.22,74,16,9.13,GR,1650914423
27,hilo,19.7297,-155.09,77.29,90,75,8.05,US,1650914255
28,albany,42.6001,-73.9662,70.03,35,100,8.99,US,1650914023
29,san patricio,28.017,-97.5169,88.16,53,83,18.59,US,1650914302
30,meulaboh,4.1363,96.1285,76.86,90,100,3.47,ID,1650914274
31,bluff,-46.6,168.3333,51.8,64,100,24.74,NZ,1650914168
32,lavrentiya,65.5833,-171.0,20.53,85,98,6.58,RU,1650914163
33,airai,-8.9266,125.4092,57.56,77,75,0.76,TL,1650914277
34,lerwick,60.1545,-1.1494,44.6,78,97,15.41,GB,1650914424
35,punta arenas,-53.15,-70.9167,46.11,67,40,17.27,CL,1650914058
36,half moon bay,37.4636,-122.4286,76.91,65,0,5.75,US,1650914121
37,sitka,57.0531,-135.33,48.09,71,20,3.44,US,1650914293
38,pamekasan,-7.1568,113.4746,79.9,80,41,3.85,ID,1650914425
39,kaitangata,-46.2817,169.8464,47.73,72,19,12.84,NZ,1650914285
40,saskylakh,71.9167,114.0833,-7.82,100,100,3.8,RU,1650914286
41,neuquen,-38.9516,-68.0591,66.09,24,20,12.66,AR,1650914425
42,east london,-33.0153,27.9116,62.51,75,8,16.24,ZA,1650914059
43,baiyin,36.5583,104.2081,59.58,28,69,1.7,CN,1650914426
44,vaini,-21.2,-175.2,73.56,88,75,14.97,TO,1650913892
